"neighborhood","crimetype","occurrence","family.with.kids.severity.","Student.severity.","elderly.severity."
"ALASKA JUNCTION","",5,NA,NA,NA
"ALASKA JUNCTION","AGGRAVATED ASSAULT",144,7,7,8
"ALASKA JUNCTION","AGGRAVATED ASSAULT-DV",98,5,5,6
"ALASKA JUNCTION","ARSON",10,8,8,10
"ALASKA JUNCTION","BURGLARY-COMMERCIAL",368,1,1,3
"ALASKA JUNCTION","BURGLARY-COMMERCIAL-SECURE PARKING",15,1,1,3
"ALASKA JUNCTION","BURGLARY-RESIDENTIAL",661,8,7,4
"ALASKA JUNCTION","BURGLARY-RESIDENTIAL-SECURE PARKING",233,8,7,4
"ALASKA JUNCTION","CAR PROWL",1928,5,5,5
"ALASKA JUNCTION","DISORDERLY CONDUCT",5,3,4,4
"ALASKA JUNCTION","DUI",206,6,7,5
"ALASKA JUNCTION","FAMILY OFFENSE-NONVIOLENT",90,3,4,4
"ALASKA JUNCTION","HOMICIDE",3,10,10,10
"ALASKA JUNCTION","LIQUOR LAW VIOLATION",12,1,2,2
"ALASKA JUNCTION","LOITERING",2,0,0,0
"ALASKA JUNCTION","MOTOR VEHICLE THEFT",721,1,2,2
"ALASKA JUNCTION","NARCOTIC",76,10,9,8
"ALASKA JUNCTION","PORNOGRAPHY",6,0,0,0
"ALASKA JUNCTION","PROSTITUTION",11,8,7,7
"ALASKA JUNCTION","RAPE",21,9,8,9
"ALASKA JUNCTION","ROBBERY-COMMERCIAL",102,5,5,5
"ALASKA JUNCTION","ROBBERY-RESIDENTIAL",7,8,7,9
"ALASKA JUNCTION","ROBBERY-STREET",100,7,7,9
"ALASKA JUNCTION","SEX OFFENSE-OTHER",66,8,6,6
"ALASKA JUNCTION","THEFT-ALL OTHER",741,3,2,3
"ALASKA JUNCTION","THEFT-BICYCLE",107,2,4,2
"ALASKA JUNCTION","THEFT-BUILDING",345,5,4,5
"ALASKA JUNCTION","THEFT-SHOPLIFT",796,1,2,1
"ALASKA JUNCTION","TRESPASS",182,4,2,5
"ALASKA JUNCTION","WEAPON",28,9,8,9
"ALKI","",1,NA,NA,NA
"ALKI","AGGRAVATED ASSAULT",74,7,7,8
"ALKI","AGGRAVATED ASSAULT-DV",42,5,5,6
"ALKI","ARSON",3,8,8,10
"ALKI","BURGLARY-COMMERCIAL",74,1,1,3
"ALKI","BURGLARY-COMMERCIAL-SECURE PARKING",3,1,1,3
"ALKI","BURGLARY-RESIDENTIAL",313,8,7,4
"ALKI","BURGLARY-RESIDENTIAL-SECURE PARKING",65,8,7,4
"ALKI","CAR PROWL",837,5,5,5
"ALKI","DISORDERLY CONDUCT",1,3,4,4
"ALKI","DUI",86,6,7,5
"ALKI","FAMILY OFFENSE-NONVIOLENT",43,3,4,4
"ALKI","HOMICIDE",3,10,10,10
"ALKI","LIQUOR LAW VIOLATION",16,1,2,2
"ALKI","MOTOR VEHICLE THEFT",313,1,2,2
