COMMERCIAL HARBOR ISLAND,722,1
COMMERCIAL DUWAMISH,1438,2
PIGEON POINT,2537,3
EASTLAKE - EAST,3590,4
GENESEE,6928,5
MADISON PARK,7722,6
SOUTH DELRIDGE,8537,7
SOUTH BEACON HILL,10236,8
FAUNTLEROY SW,10302,9
ALKI,10565,10
HILLMAN CITY,11545,11
CLAREMONT/RAINIER VISTA,11685,12
NEW HOLLY,13756,13
EASTLAKE - WEST,14056,14
MILLER PARK,14066,15
HIGH POINT,14614,16
LAKEWOOD/SEWARD PARK,15260,17
COLUMBIA CITY,15272,18
NORTH DELRIDGE,15554,19
MONTLAKE/PORTAGE BAY,15949,20
SOUTH PARK,17609,21
MORGAN,18215,22
UNKNOWN,19304,23
JUDKINS PARK/NORTH BEACON HILL,19455,24
PHINNEY RIDGE,19725,25
NORTH ADMIRAL,20274,26
RAINIER VIEW,23933,27
HIGHLAND PARK,23995,28
GEORGETOWN,25464,29
MID BEACON HILL,25946,30
RAINIER BEACH,26294,31
ALASKA JUNCTION,27974,32
MADRONA/LESCHI,29347,33
MOUNT BAKER,30487,34
ROXHILL/WESTWOOD/ARBOR HEIGHTS,31042,35
MAGNOLIA,32820,36
BRIGHTON/DUNLAP,34196,37
NORTH BEACON HILL,39323,38
SODO,39927,39
WALLINGFORD,40832,40
FREMONT,41921,41
BITTERLAKE,43112,42
SANDPOINT,44108,43
PIONEER SQUARE,45128,44
BALLARD NORTH,46255,45
GREENWOOD,46986,46
LAKECITY,55520,47
CENTRAL AREA/SQUIRE PARK,55561,48
CHINATOWN/INTERNATIONAL DISTRICT,57596,49
BALLARD SOUTH,61008,50
FIRST HILL,65290,51
ROOSEVELT/RAVENNA,76072,52
BELLTOWN,76226,53
UNIVERSITY,85647,54
SLU/CASCADE,106926,55
QUEEN ANNE,114894,56
NORTHGATE,122917,57
CAPITOL HILL,132807,58
DOWNTOWN COMMERCIAL,208428,59
