COMMERCIAL HARBOR ISLAND,638,1
COMMERCIAL DUWAMISH,1392,2
PIGEON POINT,2627,3
EASTLAKE - EAST,3912,4
GENESEE,7333,5
MADISON PARK,8589,6
SOUTH DELRIDGE,8616,7
ALKI,11486,8
FAUNTLEROY SW,11535,9
SOUTH BEACON HILL,12217,10
CLAREMONT/RAINIER VISTA,12400,11
HILLMAN CITY,12553,12
NEW HOLLY,14010,13
EASTLAKE - WEST,15099,14
HIGH POINT,15357,15
MILLER PARK,15404,16
COLUMBIA CITY,16319,17
NORTH DELRIDGE,16720,18
MONTLAKE/PORTAGE BAY,17602,19
LAKEWOOD/SEWARD PARK,17643,20
SOUTH PARK,17757,21
JUDKINS PARK/NORTH BEACON HILL,20065,22
MORGAN,20144,23
UNKNOWN,20641,24
PHINNEY RIDGE,21234,25
NORTH ADMIRAL,22232,26
GEORGETOWN,23981,27
HIGHLAND PARK,26521,28
RAINIER BEACH,26555,29
RAINIER VIEW,27909,30
ALASKA JUNCTION,29806,31
MID BEACON HILL,30267,32
MOUNT BAKER,32130,33
MADRONA/LESCHI,32227,34
ROXHILL/WESTWOOD/ARBOR HEIGHTS,33588,35
MAGNOLIA,35983,36
BRIGHTON/DUNLAP,36562,37
SODO,37547,38
NORTH BEACON HILL,41299,39
WALLINGFORD,43367,40
FREMONT,44168,41
PIONEER SQUARE,44385,42
BITTERLAKE,47438,43
GREENWOOD,49327,44
BALLARD NORTH,50880,45
SANDPOINT,51430,46
CHINATOWN/INTERNATIONAL DISTRICT,57258,47
LAKECITY,59913,48
CENTRAL AREA/SQUIRE PARK,60274,49
BALLARD SOUTH,62874,50
FIRST HILL,67290,51
BELLTOWN,78454,52
ROOSEVELT/RAVENNA,81001,53
UNIVERSITY,92851,54
SLU/CASCADE,108259,55
QUEEN ANNE,123098,56
NORTHGATE,128706,57
CAPITOL HILL,138269,58
DOWNTOWN COMMERCIAL,207577,59
